Model,Train Time (sec),Accuracy,Precision,Recall,F1-Score,y_pred
STC,744.3,0.9336,0.9343,0.9291,0.9317,['Defect' 'Normal' 'Normal' ... 'Defect' 'Defect' 'Normal']
KNN_DTW,278.65,0.5728,0.5665,0.5216,0.5431,['Defect' 'Normal' 'Defect' ... 'Normal' 'Defect' 'Defect']
KNN_DTW_tuned,150.13,0.5938,0.5943,0.5216,0.5556,['Defect' 'Normal' 'Normal' ... 'Normal' 'Defect' 'Defect']
KNN_Euclidean,0.65,0.7102,0.7284,0.6453,0.6844,['Defect' 'Defect' 'Normal' ... 'Defect' 'Defect' 'Normal']
TimeSeriesForest,53.42,0.8328,0.8352,0.8178,0.8264,['Normal' 'Normal' 'Normal' ... 'Defect' 'Defect' 'Defect']
WEASEL_V2,208.98,0.9614,0.9649,0.9555,0.9602,['Defect' 'Normal' 'Normal' ... 'Defect' 'Defect' 'Normal']
MiniRocket,6.22,0.9404,0.94,0.9374,0.9387,['Defect' 'Normal' 'Normal' ... 'Defect' 'Defect' 'Normal']
InceptionTime,928.9,0.9289,0.8771,0.993,0.9315,['Defect' 'Normal' 'Normal' ... 'Defect' 'Defect' 'Defect']
